Food Category, Foods ,Serving Price (LKR),Serving quantity (g),Calories(kcal/serving quantity),Total Fat (g),Total Sugar (g),Total Protein (g),Total Sodium (mg),Total Carbohydrate (g),Total Calcium  (mg),Total Iron (mg),,,,
1, Samba Rice ,19.8,90,308,0.9,0,6.4,6.8,68,0,6,,,,
1, Nadu(local) Rice ,20.28,98,109,0.8,0,2.3,1,23,64,2.32,,,,
1, Kekulu(local) Rice  ,19.7,100,111,0.9,0,3,5,23,100,4,,,,
1, Nadu(Imported) Rice ,17.15,98,109,0.8,0,2.3,1,23,64,2.32,,,,
1, Kekulu(Imported) Rice ,16.7,100,111,0.9,0,3,5,23,100,4,,,,
1, Dhal ,49.407,129,117.5,2.9,3,7,304.5,17.5,18.1,0,,,,
1, Oatmeal ,149.76,117,45,1,0.3,3,4.7,14,7.2,2.6,,,,
1, Samaposha ,33,50,201,4.1,0.4,9.5,5.7,32,0,0,,,,
1, Suposha ,50.66,50,202,4.1,0.4,9.5,5.7,32,0,0,,,,
2, Toasted Bread ,76.5,68,384,11.12,2.72,9.24,0.51,61.65,0,8,,,,
2, Paratha roti ,47.4,79,258,7,3.33,2,110,48,100,4.73,,,,
2, Thosei ,50,80,110,8,3.5,2.53,0,24,104,2,,,,
3, Orange ,200,140,69,0.2,1.2,1.3,1.4,18,138,3.6,,,,
3, Apple ,200,182,95,0.3,1.9,0.5,195,25,25,3.75,,,,
3, Pineapple chunk ,17.84,83,21,0.1,7.5,0.5,0.8,11,22,1.575,,,,
3, Papaya ,17.4,145,62,0.4,1.1,0.7,12,16,8.8,6.7,,,,
3, Banana ,13.57,118,105,0.4,7.4,1.3,1.2,35,2,6.8,,,,
4, Potato ,48.77,173,161,0.2,2,4.3,17,37,34,1.7,,,,
4, Beans ,57.15,127,119.5,0.5,10,6,435.5,27,165,4.25,,,,
4, Carrot ,18.4,46,16,0.1,1.6,0.4,27,3.8,297,2.43,,,,
4, Cabbage ,15,75,17,0.1,2.1,1,6,4.1,123.2,2.87,,,,
4, Tomato ,30.75,123,22,0.3,3.2,1.1,6.2,4.8,24,4.32,,,,
4, Brinjal ,107.1,238,99,0.7,9,2.4,2.9,24.5,9.1,2.8,,,,
4, Pumpkin ,17.15,122.5,24.5,0.1,2.6,0.9,1.3,6,42,1.17,,,,
5, Egg ,49,50,72,0.87,0.2,6.3,71,0.4,46,5.23,,,,
6, Chicken slice ,112.2,85,187,11,0,18,60,0,5.1,0.491,,,,
6, Beef slice ,242.76,85,220,14,0,22,43,0,5,0.636,,,,
6, Pork slice ,193.8,85,202,12,0,22,48,0,8.6,0.346,,,,
6, Mutton slice ,728.96,85,250,18,0,21,61,0,7,0.472,,,,
7, Tuna slice ,728.9,85,111,0.5,0,25,46,0,1.5,0.215,,,,
7, Hurulla slice ,54.4,85,115,0.5,0,11.6,14,0,11,0.422,,,,
7, Kelawalla slice ,78.2,85,134,8.6,0,18,81,0,2.5,0.22,,,,
7, Thalapth slice ,170,85,172,8,0,23,97,0,3,0.28,,,,
7, Balaya  slice ,46.75,85,151,5,0,21.1,111,0,1.3,0.555,,,,
7, Paraw slice ,85,85,128,5.5,0,19.7,52.5,0,3.85,0.4125,,,,
7, Salaya slice ,42.5,85,208,6,0,24.6,307,0,191,0.1825,,,,
8, Sausage ,147.9,68,210,19,0.6,8.1,562,0.6,3.9,0.144,,,,
8, Bacon slice ,102.66,35,161,4,0,12,581,0.6,3,0.18,,,,
8, Meat ball ,137.4,113,324,25,3.9,16,71,9.1,46,0.723,,,,
9, Cup of Milk  ,113.46,244,122,4.8,1.2,8.1,115,12,69,0.09,,,,
9, Cup of Butter milk ,422,245,98,2.2,12,8.1,446,12,66,0.21,,,,
9, Electrolyte energy drink bottle ,350,500,70,0,18,0,250,18,2.2,0,,,,
9, Cup of Coffee ,57.8,250,2.4,0.1,0,0.3,0,0,5,0,,,,
9, Cup of Tea ,46.24,250,1.8,0,0,0,0,0.5,0,0,,,,
9, Cup of Herbal infusion ,108.4,250,2.4,0,0,0,2.4,0.5,0.96,0.264,,,,
10, Cup of Ice cream ,160,132,273,15,28,4.6,106,31,344.5,0.1855,,,,
10, Yoghurt ,80,174,221,6.3,35,5.2,110,38,286,0.968,,,,
10, Cup of Curd ,50.85,113,69,3.7,5.3,0.9,52,5.3,114.4,0.312,,,,
